,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ostrovnoy,100,RU,97,68.0531,39.5131,-0.65,3.27
1,mahebourg,40,MU,94,-20.4081,57.7,23.0,3.6
2,qaanaaq,98,GL,69,77.484,-69.3632,-19.29,3.08
3,zhuhai,40,CN,100,22.2769,113.5678,26.0,4.63
4,cape town,0,ZA,94,-33.9258,18.4232,17.22,2.57
5,atuona,92,PF,75,-9.8,-139.0333,27.13,9.02
6,flinders,40,AU,75,-34.5833,150.8552,18.89,1.34
7,opuwo,57,NA,89,-18.0607,13.84,17.94,2.87
8,tiksi,100,RU,98,71.6872,128.8694,-19.2,3.06
9,pushkinskiye gory,100,RU,94,57.0209,28.9103,8.35,3.76
10,aykhal,100,RU,96,66.0,111.5,-14.42,3.8
11,castro,66,BR,96,-24.7911,-50.0119,15.2,1.01
12,avarua,75,CK,70,-21.2078,-159.775,29.0,3.6
13,saskylakh,100,RU,99,71.9167,114.0833,-33.4,2.95
14,constitucion,5,CL,91,-35.3333,-72.4167,13.47,3.11
15,albany,40,US,31,42.6001,-73.9662,15.56,7.72
16,vilyuysk,100,RU,90,63.7553,121.6247,-6.17,2.79
17,ushuaia,20,AR,57,-54.8,-68.3,8.0,8.23
18,bambous virieux,40,MU,94,-20.3428,57.7575,25.56,3.6
19,kodinsk,100,RU,96,58.6881,99.1844,-8.84,1.41
20,teknaf,48,BD,84,20.8624,92.3058,25.47,4.75
21,busselton,61,AU,96,-33.65,115.3333,13.89,2.02
22,ambon,20,ID,94,-3.6954,128.1814,25.0,2.06
23,maragogi,99,BR,81,-9.0122,-35.2225,26.41,4.47
24,fallon,1,US,13,39.4735,-118.7774,12.0,6.17
25,kantang,93,TH,91,7.4054,99.5156,24.59,0.27
26,colonelganj,2,IN,14,27.1333,81.7,22.57,3.75
27,punta arenas,0,CL,54,-53.15,-70.9167,11.0,4.12
28,rikitea,7,PF,70,-23.1203,-134.9692,25.94,6.43
29,new norfolk,88,AU,70,-42.7826,147.0587,15.56,0.45
30,gobabis,99,NA,77,-22.45,18.9667,16.33,0.78
31,qingdao,0,CN,70,36.0986,120.3719,4.0,1.0
32,port hardy,75,CA,66,50.6996,-127.4199,10.0,5.14
33,arman,100,RU,85,59.7,150.1667,-3.31,5.05
34,mamakan,100,RU,90,57.8161,114.0028,-2.66,2.39
35,bethel,1,US,33,41.3712,-73.414,14.0,5.66
36,clinton,75,US,34,42.587,-82.9199,22.0,10.29
37,varhaug,91,NO,94,58.6147,5.6457,7.78,0.45
38,ayan,99,RU,81,56.45,138.1667,-3.31,2.53
39,mayor pablo lagerenza,88,PY,67,-19.9309,-60.7718,21.56,1.76
40,hermanus,5,ZA,85,-34.4187,19.2345,16.67,0.45
41,torbay,75,CA,54,47.6666,-52.7314,-1.67,7.2
42,yellowknife,40,CA,56,62.456,-114.3525,-13.33,7.2
43,kruisfontein,83,ZA,47,-34.0033,24.7314,18.46,3.82
44,puerto ayora,20,EC,74,-0.7393,-90.3518,28.0,4.12
45,rosita,57,NI,69,13.9268,-84.4032,27.21,2.74
46,beloha,8,MG,78,-25.1667,45.05,18.47,1.55
47,port elizabeth,0,ZA,88,-33.918,25.5701,17.0,6.69
48,port alfred,43,ZA,80,-33.5906,26.891,19.35,7.56
49,garchitorena,100,PH,85,13.8804,123.6946,26.32,2.89
50,kodiak,90,US,75,57.79,-152.4072,4.0,4.12
51,mar del plata,0,AR,82,-38.0023,-57.5575,17.22,2.06
52,taybad,0,IR,54,34.74,60.7756,5.97,5.1
53,cabo san lucas,1,MX,14,22.8909,-109.9124,29.0,5.14
54,tiarei,20,PF,66,-17.5333,-149.3333,31.0,5.14
55,khatanga,64,RU,99,71.9667,102.5,-37.68,3.02
56,pisco,40,PE,73,-13.7,-76.2167,22.0,9.77
57,kolyvan,0,RU,79,55.3053,82.7391,-9.0,4.0
58,hofn,0,IS,52,64.2539,-15.2082,1.29,3.74
59,bontang,100,ID,87,0.1333,117.5,24.18,2.43
60,sault sainte marie,90,CA,60,46.5168,-84.3333,5.0,4.63
61,zhigansk,100,RU,93,66.7697,123.3711,-7.93,6.33
62,thompson,75,CA,37,55.7435,-97.8558,-11.0,6.69
63,pevek,92,RU,95,69.7008,170.3133,-22.8,4.02
64,nanortalik,100,GL,97,60.1432,-45.2371,2.03,8.52
65,bilibino,41,RU,89,68.0546,166.4372,-19.09,1.21
66,dikson,6,RU,96,73.5069,80.5464,-32.75,2.39
67,hambantota,79,LK,84,6.1241,81.1185,26.37,4.4
68,beja,20,TN,62,36.7256,9.1817,12.0,4.63
69,fortuna,1,US,54,40.5982,-124.1573,18.33,5.66
70,ponta do sol,28,PT,74,32.6667,-17.1,15.56,2.68
71,qasigiannguit,75,GL,60,68.8193,-51.1922,3.0,6.17
72,butaritari,97,KI,76,3.0707,172.7902,27.98,8.14
73,virginia beach,20,US,45,36.8529,-75.978,18.0,5.14
74,hobyo,8,SO,72,5.3505,48.5268,26.04,4.29
75,saint george,1,US,10,37.1041,-113.5841,17.78,3.7
76,pontes e lacerda,90,BR,64,-15.2261,-59.3353,26.63,1.27
77,khor,30,RU,85,47.8861,134.9464,1.64,4.02
78,crotone,0,IT,67,39.0851,17.1178,12.51,4.33
79,baglung,0,NP,30,28.2719,83.5898,15.63,3.42
80,raglan,93,NZ,76,-37.8,174.8833,22.22,4.47
81,jamestown,1,US,24,42.097,-79.2353,19.0,6.17
82,sur,0,OM,40,22.5667,59.5289,26.92,0.64
83,araouane,24,ML,7,18.9048,-3.5265,25.83,4.18
84,emerald,0,AU,64,-23.5333,148.1667,23.0,5.14
85,launceston,65,AU,82,-41.45,147.1667,13.89,2.57
86,nikolskoye,90,RU,93,59.7035,30.7861,4.0,5.0
87,ambilobe,47,MG,95,-13.2,49.05,23.72,1.04
88,cidreira,18,BR,71,-30.1811,-50.2056,20.57,5.34
89,ternate,99,ID,83,0.8,127.4,27.14,3.48
90,tarauaca,99,BR,97,-8.1614,-70.7656,23.42,1.01
91,bella vista,90,US,55,36.4295,-94.2316,17.0,6.69
92,xichang,0,CN,58,27.8964,102.2634,10.39,0.42
93,antioch,75,TR,58,36.2066,36.1572,14.0,4.12
94,najran,0,SA,26,17.4924,44.1277,20.0,1.16
95,agirish,94,RU,92,61.9247,63.0231,-3.45,3.35
96,mataura,90,NZ,97,-46.1927,168.8643,15.0,2.24
97,katsuura,57,JP,75,35.1333,140.3,17.78,0.89
98,shalinskoye,97,RU,85,55.7228,93.7594,-5.81,6.27
99,barrow,1,US,71,71.2906,-156.7887,-21.0,12.35
100,sorong,89,ID,84,-0.8833,131.25,26.43,2.25
101,kingston,20,JM,58,17.997,-76.7936,30.0,12.35
102,ketchikan,90,US,87,55.3422,-131.6461,7.0,4.12
103,kapaa,75,US,69,22.0752,-159.319,27.0,5.66
104,mbigou,97,GA,98,-1.9005,11.906,19.33,0.46
105,yakeshi,19,CN,62,49.2833,120.7333,0.73,0.45
106,hilo,90,US,65,19.7297,-155.09,25.0,3.09
107,whitehorse,90,CA,48,60.7161,-135.0538,4.0,8.23
108,bonthe,67,SL,88,7.5264,-12.505,25.67,2.15
109,bara,82,NG,12,10.3744,10.7288,25.64,5.09
110,lompoc,6,US,37,34.6391,-120.4579,21.11,5.66
111,port blair,80,IN,78,11.6667,92.75,26.43,1.17
112,bredasdorp,1,ZA,93,-34.5322,20.0403,11.0,1.03
113,thinadhoo,91,MV,74,0.5333,72.9333,28.63,8.53
114,koumac,96,NC,64,-20.5667,164.2833,27.82,4.33
115,faanui,43,PF,72,-16.4833,-151.75,27.43,2.02
116,xam nua,31,LA,53,20.4197,104.0439,18.9,1.6
117,east london,16,ZA,88,-33.0153,27.9116,20.07,7.23
118,sao filipe,4,CV,78,14.8961,-24.4956,20.87,2.23
119,deputatskiy,73,RU,95,69.3,139.9,-19.33,0.25
120,chuy,44,UY,72,-33.6971,-53.4616,16.99,3.9
121,sitka,90,US,93,57.0531,-135.33,4.0,4.12
122,forio,0,IT,41,40.7342,13.8646,15.0,1.54
123,russkaya polyana,47,UA,60,49.417,31.9201,3.94,2.53
124,san felipe,100,VE,94,10.3399,-68.7425,22.8,2.49
125,arraial do cabo,75,BR,94,-22.9661,-42.0278,24.0,6.17
126,margate,0,GB,62,51.3813,1.3862,13.33,0.45
127,aklavik,90,CA,72,68.2191,-135.0107,-16.0,2.57
128,lokosovo,52,RU,99,61.1333,74.8167,-21.3,2.33
129,paita,0,PE,48,-5.0892,-81.1144,29.0,4.12
130,cravo norte,100,CO,57,6.3017,-70.2041,28.77,3.12
131,motygino,100,RU,94,58.1831,94.7592,-5.96,3.81
132,west wendover,20,US,23,40.7391,-114.0733,8.0,5.14
133,adrar,11,MR,9,20.5022,-10.0711,27.27,4.55
134,melfi,19,IT,83,40.9965,15.6514,6.11,1.87
135,kibaya,65,TZ,98,-5.3,36.5667,14.74,1.79
136,iqaluit,20,CA,59,63.7506,-68.5145,-21.0,8.23
137,lavrentiya,89,RU,71,65.5833,-171.0,-15.13,3.03
138,morondava,2,MG,73,-20.2833,44.2833,22.67,5.18
139,vaini,20,TO,79,-21.2,-175.2,30.0,4.12
140,georgetown,20,MY,89,5.4112,100.3354,28.0,0.97
141,sanchazi,32,CN,47,42.0817,126.6003,5.97,1.18
142,sarai mir,0,IN,34,26.0167,82.9167,29.0,3.6
143,yichun,100,CN,72,47.7,128.9,0.95,0.66
144,plainview,1,US,58,40.7765,-73.4673,12.22,8.23
145,comodoro rivadavia,40,AR,77,-45.8667,-67.5,17.0,2.57
146,nardaran,20,AZ,100,40.5561,50.0056,5.0,2.72
147,nagua,20,DO,88,19.3832,-69.8474,25.0,4.12
148,ibra,0,OM,27,22.6906,58.5334,24.56,0.47
149,ganzhou,100,CN,96,28.8184,115.4327,19.65,0.67
150,talnakh,16,RU,93,69.4865,88.3972,-31.88,0.86
